python	処理	8	for文は内包表記を使用しているか
python	メンテナンス	8	ハードコーディングがないか
python	規約	8	"関数にコメントがあるか
・引数の説明・型があるか
・戻り値の説明・型があるか"
python	規約	8	変数・関数名がスネークケースになっているか
python	処理	8	if分岐でキャッチできてないものは無いか？
python	処理	6	同じような処理が関数化されているか
python	処理	7	無限ループがないか
python	処理		リスト内の要素をすべて検査する必要がある場合は、インデックス付きのforループではなく、enumerate関数を使用する。
python	処理		大きなデータを扱う場合は、リストではなく、ジェネレータを使用する。
python	処理		頻繁に要素の追加・削除を行う場合は、リストではなく、辞書を使用する。
python	処理		高速な検索が必要な場合は、リストではなく、セットを使用する
python	処理		計算結果や読み込んだデータをキャッシュすることで、処理速度を向上させる
python	処理		複雑な処理や専門的な処理は、既存のライブラリを活用することで、開発時間を短縮し、コードの品質を高めることができる。
python	文法		エラーが発生する可能性がある箇所を適切に処理する。
python	文法		変数に適切な型を割り当てる
python	文法		わかりやすい変数名、関数名、適切なコメントを用いる
